"德语词汇：""Öffentlichkeitsarbeit"" 的中文含义是什么？",公共关系/公关 (PR)。
"德语固定搭配：注重质量/看重质量，用 ""auf Qualität _____"" 表示。",setzen
"德语词汇：""die Deutsche Gesellschaft für Ernährung"" (DGE) 的中文含义是什么？",德国营养协会。
"德语动词：表示“规定/要求”的动词是 ""_____"" (Task 22)。",vorschreiben
"德语介词/前缀：""Wider die Currywurst"" 中的 ""Wider"" 表达什么意思？",反对/违背（Currywurst）。
"短语：""den Blick für andere interessante Bereiche öffnen"" 中 ""Bereiche"" 的含义是？",领域/范畴。
"德语语法：""mit den Studierenden"" 中 ""Studierenden"" 是什么格位和数？",与格复数 (Dativ Plural)。
"德语副词：表示“多次/反复”的词是 ""_____"" (Task 46)。",mehrmals
"德语动词：""miterleben"" 的中文含义是什么？",共同经历/亲历/目睹。
"德语词汇：""Sachgebiet"" 的中文含义是什么？",（行政或业务）部门/专业领域。
"德语固定搭配：成功通过（已在身后的），用 ""erfolgreich _____ sich lassen""。",hinter
"德语表达：获得真诚的评估，用 ""_____ Einschätzungen bekommen"" 表示。",ehrliche
"德语词汇：""Philologische Fakultät"" 的中文含义是什么？",语文学系/文学院。
"德语动词：表示“满足/达到（期望等）”的动词是 ""_____"" (Task 41 context)。",erfüllen
"德语介词：""begeistert _____ seinem Tag"" 中填入的介词是？",von
"德语固定搭配：""in Frage _____"" 表示“值得考虑”或“可能”。",kommen
"德语名词：""Vorhaben"" 的同义词或中文含义是什么？",计划/打算/意图 (Plan/Absicht)。
"德语词汇：""Pressesprecherin"" 的中文含义是什么？",新闻发言人（女）。
"德语表达：""Mut machen"" 反义的动作通常是什么？",entmutigen (使气馁)。
"德语固定搭配：""_____ Besuch sein"" 表示在某地做客。",zu
"德语固定搭配：""im Rahmen _____"" 表示在……的框架/背景下。",von
"德语表达：""eine Stellungnahme geben"" 中 ""Stellungnahme"" 是由哪个动词演变而来的？",Stellung nehmen (表态/发表立场)。
"德语语法：Task 38 ""begeistert von _____ Tag"" (Dativ masculin)。",ihrem
"德语动词：""berichten"" 后面接“关于……”通常用哪个介词？",über (plus Akkusativ) 或 von (plus Dativ)。
"德语表达：""Erwartungen wurden erfüllt"" 使用的是什么语态？",被动语态 (Passiv)。
"德语词汇：""Mensa"" 的中文含义是什么？",（大学）食堂。
"德语短语：""ausführlich beantwortet"" 的中文含义是什么？",详尽地回答。
"德语介词：""den Blick _____ andere Bereiche öffnen"" 中使用的介词是？",für
"德语动词：""zusammenführen"" 在 Task 32 的被动语态形式是 ""_____ wurden beide""。",Zusammengeführt
"德语固定搭配：""Kompetenzen _____"" (Task 29) 的动词原形是？",sammeln
"德语形容词：表示“灵活的”词是 ""_____"" (Task 23)。",flexibel
"德语词汇：""Stadtverwaltung"" 的中文含义是什么？",市政府/城市行政部门。
"德语表达：""einen Job bekommen"" 的中文含义是什么？",获得/得到一份工作。
"德语动词：""empfinden"" 在 ""als Bereicherung empfinden"" 中的含义是？",感觉到/认为/觉得。
"德语介词：""beteiligt _____ dem Projekt"" 中应填入的格位是？",an (plus Dativ)
"德语名词：""Zukunftsplanung"" 的中文含义是什么？",未来规划。
"德语固定搭配：""_____ Begeisterung"" 表示带有……的热情。",voller
"德语动词：""vorgeben"" 的同义词，表示“规定”的词是 ""_____""。",vorschreiben
"德语短语：""sich sicherer fühlen"" 的中文含义是什么？",感到更自信/更有把握。
"德语词汇：""Alumni-Büro"" 的中文含义是什么？",校友办公室。
"德语表达：""ein paar ehrliche Einschätzungen"" 的中文含义是什么？",一些诚恳的评价/估计。
